Name,Ingredients,Garnish,Preparation
barrel aged ginger negroni,"1 part junipero gin, 1 part king's ginger liqueur, 1 part campari, 1 part sweet vermouth",,"mix equal parts of the 4 spirits and age in a 5 liter oak barrel for 30 days. transfer into glass bottles and rest for a minimum of 3 days. make giant (2"" x 2"") ice cubes with an orange peel frozen inside. pour negroni on ice cube and serve."
amaretto bourbon punch,"37.5 oz hirsch small batch reserve bourbon, 6.25 oz luxardo amaretto di saschira, 12.5 oz fresh lemon juice, 12.5 oz sparkling apple juice, 6.25 oz simple syrup, 37.5 oz seltzer",,mix ingredients in the punch bowl.
merry sherry cobbler,"1.5 oz christmas spirit, 1 oz oloroso sherry, .25 oz walnut liqueur, 3 dash regans' orange bitters, 3 dash pear bitters",,"mix ingredients together then pour over crushed ice into a julep tin. dust with salt, sugar, and cinnamon."
french 75,".75 oz no.3 london dry gin or h by hine, .75 oz fresh lemon juice, 1 dash simple syrup, 1 float sparkling wine","lemon peel, luxardo cherry","mix the gin or cognac, lemon juice and syrup in a cocktail shaker. pour the contents into a champagne flute. top up with champagne. add a luxardo cherry or a peel of lemon."
a mi manera (my way) pisco punch,"2 oz barsol selecto italia pisco, 1 oz luxardo apricot liqueur, 2 oz minta soda, 1 pinch citric acid or lime juice, 1 scoop pineapple sorbet",candied pineapple wheel,"mix the pisco, apricot liqueur and citric acid ingredients together in a punch bowl and allow to rest for 45 minutes. place a large 2.2 lb. ice block 10 minutes before serving. scoop the pineapple sorbet in a punch glass and fill up with the mix, top up with mint-flavored soda. garnish with candied pineapple wheel from dress the drink."
you're bitter than that,".75 oz blanco tequila, .75 oz luxardo bitter bianco, .75 oz luxardo sangue morlacco cherry liqueur, .75 oz fresh lime juice, .25 oz rich simple syrup (2:1)",orange twist,mount all ingredients in a shaker tin. add ice. hard shake. double strain into a chilled coupe glass. garnish with orange twist.
cocao martini,"2.5 oz karlsson's gold vodka, .5 oz ginger brown*, 4 dash hella hula bitters, 3 beans cocao beans",cocoa bean,"muddle 3 cacao beans in a mixing glass, add vodka, ginger-brown sugar, and bitter beast hella hula bitters. add ice and vigorously shake to incorporate cacao flavor. fine strain into a martini glass. garnish with a cocao bean."
on the flipside,"1.5 oz pink pigeon rum, 1 oz lime juice, .75 oz simple syrup, 2  mint leaves, muddled, 3  cucumber slices, muddled",,muddle 3-4 cucumber slices and a couple mint leaves. shake and strain into martini or coupe glass. garnish with lime or mint or cucumber.
farmer's gold,"2 oz karlsson's gold vodka, .75 oz fresh lemon juice, 1 oz simple syrup (1:1), 3 dash regans' orange bitters, 5 large basil leaves, 16 whole black peppercorns","lemon swath, basil leaf","muddle 4 basil leaves, 16 peppercorns and simple syrup in shaker tin. add all other ingredients except final basil leaf. add ice. shake vigorously. fine strain into chilled cocktail glass. express lemon oil from lemon swath over drink. garnish with lemon swath and final basil leaf."
winter swizzle,"2 oz pink pigeon rum, 1 oz fresh lime juice",,"muddle a small handful of fresh mint leaves, ¾ oz simple syrup (equal parts sugar and water)
1 oz fresh lime juice.
add crushed ice to the glass to fill half way.
pour in 2 oz of pink pigeon.
swizzle to incorporate ingredients and slowly add in the rest of the crushed ice."
lost at sea,"2 oz king's ginger liqueur, 1 oz lime juice, .5 oz cane sugar syrup, 2 oz club soda",basil sprig,"muddle basil in mixing glass, add all ingredients except club soda. shake and strain into a collins glass, top with club soda.  top with crushed ice and garnish with a basil sprig."
feingold,"2 oz brandy, .5 oz orange cordial, 1 bsp luxardo sangue morlacco cherry liqueur, 1  luxardo cherry (muddled), 1 dash aromatic bitters, 1 dash cherry bitters",luxardo cherry,"muddle cherry in liquid ingredients. shake, double strain over cracked ice. garnish with two more cherries on a pick with an orange flag."
lovage in the garden,"2 oz hophead vodka, 3  sun gold cherry tomatoes, 4  lovage leaves, .75 oz lime juice, .5 oz agave syrup (1:1 agave to water), .5 oz luxardo aperitivo, 1 pinch hepps ghost pepper salt",lovage sprig,muddle everything in a tin except hophead. then add hophead and ice and shake and strain into a rocks glass with ice and garnish with a lovage sprig.
georgia old fashioned,"2.5 oz nikka coffey grain whisky, .25 oz tippleman's barrel smoked maple syrup, 2 dash regans' orange bitters, 5 dash angostura bitters, 1 disc orange, 1 disc lemon, 1 slice peach",,"muddle fruit, bitters and syrup. add ice (1 large cube if available). top with whisky. long stir."
stroll through the park,"2 oz barsol primero quebranta pisco, .5 oz simple syrup, .5 oz orange juice, .5 oz lemon, 1 bsp el guapo tonic syrup, 4 dash el guapo tonic bitters, 3  cucumber slices, 2  mint sprig",cucumber slice,muddle mint and cucumber with the simple syrup in a shaker tin. combine the remainder of the ingredients in the tin. shake vigorously. double strain with a fine mesh strainer into a collins glass. fill with ice and garnish with a cucumber slice.
naughty nikka,"2 oz nikka whisky taketsuru pure malt 12 yo, 1 oz fresh ginger syrup, 1 slice orange slice, 1 dash chinese five spice bitters",,"muddle orange slice. add nikka. add ginger syrup. stir over ice. add bitters.
"
masataka's vision,"2 oz nikka whisky taketsuru pure malt 12 yo, .5 oz luxardo amaro abano, 3 dash house-made rasta bitters",luxardo cherry,muddle orange twist with sugar. add ice. pour ingredients over ice. add bitters
ginger pigeon,"1 oz pink pigeon rum, .5 oz luxardo aperitivo, .5 oz simple syrup, .5 oz lemon juice, 1 float ginger beer, 4 pieces chopped pineapple, 3 pieces ginger root",,"muddle pineapple and ginger root, lemon juice and simple syrup, then add aperitivo and rum, shake well, over ice and top up with ginger beer."
spice and stormy,"1.5 oz pink pigeon rum, .5 oz simple syrup, .5 oz lemon juice, .5 oz luxardo bitter, 1 float ginger beer, 4 pieces pineapple, 4 pieces ginger root",,"muddle pineapple and ginger root, lemon juice and simple syrup. add rum. shake well, over ice and top with ginger beer and luxardo bitter"
stone fruit patch v2,"1 oz luxardo maraschino liqueur, .5 oz peach puree, .75 oz lime juice, 3  raspberries, 1 oz sparkling wine","raspberry, mint",muddle raspberries in mixing glass. add remainder of ingredients in a mixing glass with fresh ice. shake vigorously and strain into a well chilled coupe. top off with sparkling wine. garnish with raspberry and mint.
stone fruit patch v1,"1 oz luxardo maraschino liqueur, .5 oz peach puree, .75 oz lime juice, 3  raspberries","raspberry, mint",muddle raspberries in mixing glass. add remainder of ingredients in a mixing glass with fresh ice. shake vigorously strain over fresh ice. garnish with raspberry and mint.
mint garden,"1.5 oz chinaco reposado tequila, .5 oz luxardo triplum (triple sec), .75 oz fresh grapefruit juice, .5 oz lemon juice, .5 oz simple syrup, 4 pieces red bell pepper, 4 oz mint sprigs",,"muddle red pepper and mint. add all other ingredients. shake well over ice and strain into a chilled martini glass.
garnish with red pepper slice and mint sprig."
sabotage,"2 oz breck bourbon, .5 oz dancing pines black walnut bourbon, .5 oz punt e mes, .25 oz king's ginger liqueur","burnt orange, thyme sprig","muddle sage and thyme. stirred, over ice in single rocks glass. burnt orange, and thyme sprig to garnish."
rhapsody in red,"1.5 oz chinaco blanco tequila, 1 oz wild hibiscus tea, .5 oz fresh lime juice, .5 oz agave nectar,   strawberries,  top sparkling water",,"muddle strawberries in a shaker with agave nectar, add lime juice, hibiscus tea, and chinaco blanco. top with sparkling water."
cherry old fashioned,".5 tsp demerara sugar, 1  roasted cherry, 2 oz cherry-infused vodka, .25 tsp amaro di angostura, .25 tsp luxardo maraschino liqueur, 5 dash miracle mile forbidden barrel aged bitters","tarragon sprig, roasted cherry","muddle sugar and 1 roasted cherry in a rocks glass until the sugar has dissolved; add vodka, amaro, maraschino, and bitters and stir. add 1 large ice cube and garnish with half a roasted cherry and the tarragon.

cherry-infused vodka:
- 1 cup pitted cherries, quartered
- 1 cup vodka
combine cherries and vodka in a bottle; cover, and let sit to meld the flavors for 3-5 days."
basil gin and tonic,"1 oz lime juice, 1 spg basil, 2 oz tonic water, 1 oz junipero gin",,"muddle the basil with the lime juice, then add tonic water. fill glass with ice and stir in the gin."
kumquat smash,"1 oz luxardo triplum (triple sec), 1 oz ypioca brasilizar cachaca prata classica, .5 oz luxardo sour cherry syrup (previously amarena), 5  kumquats, 1 float mango flavored rum",edible flower,muddle the fruit with syrup in a mixing glass. add ice and shake vigorously. pour all ingredients(do not strain) in a tumbler glass. add a float of mango flavored rum.
mystique green (adapted),"1.5 oz no.3 london dry gin, .75 oz luxardo triplum (triple sec), .75 oz elderflower liqueur, 1 oz fresh lime juice, .5  kiwi",lotus root,muddle the kiwi pulp with lime juice in a shaker tin. add ice and liquors and shake vigorously. strain into a chilled cocktail glass.
nara mule,"2  kumquats, 2  lychee, 2 oz bulleit rye, 1 oz king's ginger liqueur, .75 oz fresh lemon juice, .5 oz simple syrup, .5 oz egg white, .5 oz fever tree ginger beer","kumquats skewer, pansy petal","muddle the kumquats and lychee in a cocktail shaker. add the whiskey, king's ginger, lemon juice, syrup and white egg, and shake very hard. double strain into a highball glass filled with ice spheres."
the reserved king,"2.5 oz glenrothes vintage reserve, .5 oz king's ginger liqueur, 3-4 dash angostura bitters,   lemon peel",,"muddle the lemon peel and bitters with the king’s ginger to release the oils.  add scotch, stir, and enjoy."
buccaneer,"2 oz junipero gin, .5 oz campari, .5 oz velvet falernum, 1 oz lime juice, .5 oz simple syrup, 3 large chunks pineapple",,muddle the pineapple adding more or less simple syrup as needed and depending on sweetness of the pineapple. add all other ingredients. give the mixture a hard shake. double strain into chilled coupe.
sage & sound,"1.5 oz junipero gin, 1 oz white port, .75 oz lemon juice, .5 oz honey cinnamon syrup*, 1  whole egg, 8  muddled sage leaves",whole star anise,"muddle the sage in a mixing tin. add the remaining ingredients and dry shake (no ice) for 15 seconds. add ice and shake another 15 seconds to chill down the drink. double strain into a large coupe glass. garnish with a whole star anise floated in the middle of the egg white.

*honey cinnamon syrup:
-- 16 oz honey
-- 2 cinnamon sticks
-- 8 oz water
combine all the ingredients together in a pot. place on the stove and bring to a simmer, stirring the honey so it doesn’t burn and let the pot simmer for 20 minutes. remove from heat and place on an ice bath. place in a container and label and date it. store in the fridge for up to 2 weeks."
japonais no.3,"1.5 oz no.3 london dry gin, 1 oz king's ginger liqueur, 1 oz orange juice, 1 dash simple syrup, 2  cucumber slices, muddled, 2  raspberries, muddled",candied ginger stick,"muddle two cucumber slices, two raspberries and simple syrup in a highball, add ice. shake gin, ginger liqueur and orange juice with ice. strain into highball glass.  garnish with a candied ginger stick."
pda,"1.5 oz new york apple whiskey, 1 oz king's ginger liqueur, .75 oz lemon, .5 oz lemongrass ginger syrup, .5 oz egg white","cinnamon stick, apple","muddled ginger root. shaken, served up, cinnamon stick and apple to garnish."
apples & grapes,"1.5 oz tempus fugit kina l'aero d'or, 1 oz c. drouin pommeau de normandie, 2 dash orange bitters",,on the rocks with twist.
the proverb,"2 oz h by hine, .5 oz maurin quina, .25 oz luxardo maraschino liqueur, 1 dash angostura bitters, 2 dash black walnut bitters",luxardo cherry,place all ingredients in a mixing glass. add ice and stir until proper dilution. strain over a large hand cut ice cube placed in a double rocks glass. garnish with a luxardo maraschino cherry on a pick.
raspberry batida,"2 oz ypioca brasilizar cachaca prata reserva especial, 1 oz sweetened condensed coconut milk, 1 oz almond milk, .5 oz briottet creme de framboise (raspberry), .5 oz tempus fugit creme de cacao, 1 handful fresh raspberries, 2 dash rubarb bitters",orange wedge,"place all ingredients in a mixing tin, muddle fresh raspberries, add ice and shake until tin is frosty. strain into a chilled highball glass. garnish with orange wedge."
ode to kinshi,"1.5 oz nikka whisky yoichi single malt 15 yo, .75 oz cocchi americano rosa, .5 oz luxardo amaro abano, 5 dash bittermens xocolatl mole bitters",red delicious apple slice,place all ingredients into a yarai mixing glass with ice and stir. strain into a coupe. garnish with an apple slice.
junipero gin and tonic,"2 oz junipero gin, 4 oz fever-tree tonic water, 3 cubes tonic water ice cubes*",(see instructions),"place ice cubes in a rocks glass. add ingredients. garnish with your choice of: rosemary, basil, lavender, edible flowers, or a lemon, lime or orange twist.

*tonic water ice cubes:
fill an ice cube tray with tonic water and freeze."
l'aviation,"1.5 oz no.3 london dry gin, 0.5 oz luxardo maraschino liqueur, 0.5 oz tempus fugit liqueur de violettes, .75 oz fresh lemon juice",lemon peel,place ingredients in a shaker with ice and shake hard for seven seconds. double strain into a chilled martini glass and garnish with lemon peel.
the kings mule,"1 oz king's ginger liqueur, 3 dash orange bitters, 5 oz sparkling wine",,"place king's ginger and orange bitters in a champagne flute, and top with sparkling wine. no garnish."
the bacchus cocktail,"5  concord grapes, 3  blackberries, 1.5 oz barsol primero quebranta pisco, 1 oz crème yvette, 1 oz lemon juice, .5 oz egg white","concord grapes, lemon peel, twisted","place the concord grapes and blackberries in a shaker and muddle. add the rest of the ingredients and ice. shake, and strain into a chilled coupe. garnish with concord grapes and lemon peel twisted to release oils."
garrison's new fashioned,"2 oz garrison brothers flagship bourbon, .5 oz luxardo apricot liqueur, 2 dash australian bitters company aromatic bitters,   lemon peel","luxardo cherry, orange slice","place the lemon peel in an old fashioned glass and muddle with bitters. in a mixing glass filled with ice, add the bourbon and apricot liqueur, then strain into the glass. garnish with cherry and orange slice, and serve over an ice sphere."
pina del este,"1.5 oz luxardo amaretto di saschira, 4  lime wedges, 1  pinapple wheel, .5 oz gomme syrup, 1 float pisco ",edible flower,"place the lime wedges and pinapple in a tumbler glass with gomme syrup and muddle briskly, then add ice and amaretto. stir well and serve with a float of pisco."
vida verde (adapted),"1.5 oz chinaco blanco tequila, .75 oz luxardo maraschino liqueur, 1.5 oz lime sweet n' sour mix,  oz cucumber wheels,  oz sprigs of mint",cucumber wheels,"place the mint and cucumber in a mixing glass and muddle briskly, then add sour mix and liquor. shake with ice and double strain over ice into a stemmed glass."
culebra,"1.5 oz rhum agricole-style, .75 oz luxardo amaretto di saschira, .5 oz fresh lime juice, 4 oz cola, 3 oz mint sprigs, 2 dash bitters",fresh mint sprig,"place the mint in a collins glass and muddle for a few seconds to release the oils, then add ice and ingredients, stir well and serve."
morlacco julep,"1.25 oz brandy de jerez, .75 oz luxardo sangue morlacco cherry liqueur, 4 sprigs mint, 1 float luxardo amaretto di saschira","mint sprigs, luxardo cherries","place the mint in a tumbler glass and muddle briskly to release the essential oils, then add the cherry liqueur and the brandy. fill up the glass with crushed ice, stir well and serve with a float of luxardo amaretto. garnish with 4 sprigs of mint and 3 luxardo cherries."
sorrentino,"1 oz luxardo limoncello, 1 oz luxardo bitter, 1 oz tempus fugit alessio vermouth di torino rosso, 2 oz club soda,   fresh thyme",orange slice,"place the thyme in a tumbler glass and muddle to release the oils, then add ice and ingredients, stir well and serve."
soma fizz,"1.5 oz junipero gin, .5 oz lemon juice, .75 oz luxardo triplum (triple sec), .75 oz heavy cream, 2 dash orange bitters, 2 oz club soda",orange wedge,pour 2 oz. of club soda into a collin’s glass. hard shake first five ingredients with ice for at 20 seconds. slowly strain into the collins glass. garnish with an orange wedge.
the ginger royale,"35 ml king's ginger liqueur, 140 ml champagne",,pour a generous measure of the king's ginger into a flute. add chilled champagne to taste.
the royal king,"1 oz king's ginger liqueur, 4 oz champagne",,pour a generous measure of the king's ginger into a flute. add chilled champagne to taste.
brazilian mai tai,"1.5 oz ypioca brasilizar cachaca prata classica, 3 oz mai tai mix, 1 splash soda water, 1 float english harbour rum",lime wheel,"pour all ingredients and shake in tin. pour into bucket. top with rum float, then garnish."
sorriso (adapted),"1 oz no.3 london dry gin, 1 oz pear flavored vodka, .5 oz luxardo sangue morlacco cherry liqueur, .5 oz sherry, 2 dash bitters",orange twist,pour all ingredients in a mixing glass filled with ice. stir well and strain into a chilled cocktail glass.
pacific breeze,"1.5 oz luxardo triplum (triple sec), .75 oz watermelon liqueur, 3 oz cranberry juice,  oz fresh lime sweet n' sour mix",fresh watermelon,pour all ingredients in a shaker with ice. shake and strain over ice into a collins or pilsner glass.
heart breaker,"1.5 oz bonded rye, .5 oz luxardo amaro abano, .5 oz punt e mes, 7 dash angostura bitters",lemon twist,pour all ingredients into a mixing glass with ice. stir to chill and dilute. strain into a chilled cocktail glass. express the oil from the twist over the drink and discard.
negroni,"1 oz no.3 london dry gin, 1 oz tempus fugit alessio vermouth di torino rosso, 1 oz luxardo bitter",orange twist,"pour all ingredients into an ice-filled old-fashioned glass, and stir approximately 20 seconds. add garnish."
blood & sand,".75 oz glenrothes vintage reserve, .75 oz tempus fugit alessio vermouth di torino rosso, .75 oz luxardo sangue morlacco cherry liqueur, .75 oz orange juice",flamed orange peel,pour all ingredients into cocktail shaker filled with ice cubes. shake well. strain into coupe glass. flame orange zest over the top of the glass.
harms' way,"1 oz luxardo bitter bianco, 1.25 oz blanco tequila, .25 oz d.o.m benedictine, 1 dash bittermens xocolatl mole bitters",lemon peel,"pour all liquid ingredients into a mixing glass and stir about 55 times for proper dilution and optimal clarity. strain into a chilled coupe. twist fresh lemon peel over cocktail for aroma. garnish with a simple lemon peel, trimmed neatly."
amaretto rose,"1.5 oz luxardo amaretto di saschira, .5 oz lime juice,  fill club soda",,pour amaretto and lime juice over ice in a collins glass. fill with club soda and serve.
the touch  of glass,"1.5 oz brandy de jerez (foie gras-infused), 2-3 drops truffle tincture,   atomized pipe tobacco essence",,"pour brandy into a brandy snifter. top with 2-3 drops of truffle tincture. spray pipe tobacco essence on wrist. smell wrist, sip drink, and enjoy."
la capilla,"1.5 oz mezcal, .75 oz pierre ferrand curaçao, .5 oz gordy’s cocktail pickle brine, 1 oz watermelon juice, .5 oz fresh grapefruit juice, .5 oz fresh lime juice","watermelon wedge, lime zest, maldon sea salt","pour ingredients in a shaker tin, add ice and shake well.

fine strain the drink into a double rocks glass filled with ice.
 
balance a small watermelon triangle on top of the glass. grate fresh lime zest on top using a microplane, and then sprinkle with maldon salt."
palais royal,"3 oz champagne, 1 oz h by hine, .33 oz cherry brandy, 1 tsp lemon juice","luxardo cherry, lemon slice",pour ingredients into a wine glass half-filled with crushed ice. garnish with a half-slice of lemon and a maraschino cherry.
rothes julep,"2 oz glenrothes vintage reserve,   simple syrup, 5  mint leaves",mint sprig,pour ingredients into cocktail shaker and shake vigorously with ice. strain into a rocks glass over crushed ice with a mint sprig garnish.
rio de janeiro mule,"1.5 oz ypioca brasilizar cachaca prata classica, 1.5 oz ginger citrus agave blend, 5 oz ginger ale, 1 dash aromatic bitters",lime wheel,"pour ingredients into mug, fill with ice. top with ginger ale. roll into tin. roll back into mug. garnish."
fernet frappe,"1.5 oz luxardo fernet, .5 oz king's ginger liqueur, 2 oz cola, 1 wedge lemon juice",fresh english mint,"pour ingredients over crushed ice into a stemmed glass, stir well and serve."
red bud trail,"1.5 oz no.3 london dry gin, .75 oz luxardo sangue morlacco cherry liqueur, .5 oz dry vermouth, .25 oz tempus fugit alessio vermouth di torino rosso, 1 dash angostura bitters",orange twist,pour into shaker over ice and shake well. serve straight up in a martini glass with an orange twist.
the twinger,"1.5 oz king's ginger liqueur,  top fever-tree ginger ale, 2 dash angostura bitters ",lime squeeze,"pour king's ginger into an ice-filled collins glass. top off with fever-tree ginger ale. add bitters, and squeeze lime over and serve."
no.3 & t,"1.5 oz no.3 london dry gin, 1 lemon lemon, 1 fill tonic water",,pour no.3 gin into a highball glass over ice cubes. add a slice of lemon and stir. top up with tonic water to taste.
3 & tree,"1.5 oz no.3 london dry gin,  top fever-tree tonic water, .25 oz maurin quina",pomegranate seeds,pour no.3 into ice-filled collins glass. top off with fever-tree tonic water to just below rim of the glass. float .25 oz. of maurin quina on top of cocktail. garnish with small spoonful of fresh pomegranate seeds.
crooked kilt,"1.5 oz glenrothes vintage reserve, .75 oz lime juice , .5 oz green chartreuse, .5 oz velvet falernum, .5 oz pineapple juice",mint,pour over crushed ice with a mint garnish.
orange crush,2.5 oz glenrothes vintage reserve,orange peel,pour over crushed ice with zest. garnish with an orange peel.
san fran soda,"1.25 oz hophead vodka, .5 oz fresh lime juice,  splash soda water,  top steam beer",lemon wedge,"pour over ice in a pint glass, then fill with steam beer. garnish with a lemon wedge and a straw."
simply perfecto,2 oz barsol perfecto amor (aperitif wine),orange wheel,pour perfecto amor over ice and garnish with an orange wheel.
château montifaud creation,"1.5 oz chateau de montifaud cognac vs, 1 oz lemon juice, .25 oz orgeat (almond) syrup, .25 oz triple sec,  top lemonade",lemon peel,"pour the cognac and lemon juice into the glass and then add orgeat syrup; fill with ices cubes and mix with a spoon. at the end, add lemonade and lemon peel."
château montifaud on the rocks,"1.5 oz chateau de montifaud cognac xo, 3  ice cubes",,pour the cognac into the glass and add ice cubes. perceive the aromas that are released as a summer rain that reveals the secrets of the nature...
château montifaud pink love,".75 oz chateau de montifaud xo silver, .75 oz sugar syrup, .75 oz lemon juice, 3  raspberries,  fill champagne",3 raspberries,"pour the cognac, sugar syrup, lemon juice and 3 pressed raspberries into the shaker, then shake. strain into the glass (using a cocktail strainer) and fill with chilled champagne. garnish with 3 raspberries."
duke's classic dry martini,"3 oz no.3 london dry gin, 1 tsp extra dry vermouth, 1  amalfi lemon",lemon twist,"pour the extra dry vermouth into a frozen martini glass (either 7 oz. or 5.5 oz. glass) and coat in a circular motion. top up the glass with ice cold no.3 gin. pare the rind of an amalfi lemon, and give it a twist to extract the oils into the glass."
glimpse of seduction,".75 oz luxardo maraschino liqueur, .75 oz grapefruit flavored vodka, .5 oz fresh lemon juice, 1 float pomegranate liqueur, 2 scoop lemon sorbet",fresh lychee,pour the first four ingredients in a blender and blend until smooth. serve into a champagne saucer. top with pomegranate liqueur float.
bloody fernet,"1 oz luxardo fernet, .75 oz luxardo maraschino liqueur, 2 scoop blood orange sorbet",blood orange wheel,pour the ingredients in a blender and blend until smooth. serve in a cocktail glass or coupe.
kentucky likker,"1.5 oz hirsch small batch reserve bourbon, 1 oz luxardo amaro abano, 2 dash orange bitters, 1 splash club soda","lemon peel, luxardo cherry","pour the ingredients in an old fashioned glass, then fill up with ice and stir well before serving."
château montifaud lady touch triple sec,"1.5 oz chateau de montifaud reserve speciale michel vallet, .75 oz triple sec, 1 oz lemon juice, 1 oz sugar syrup, 8  fresh mint,   ice cubes",,pour the ingredients in the shaker. close and shake well until frosted. strain into the glass. garnish with fresh mint.
pink colada,"2 oz pink pigeon rum, 2 oz pineapple juice, 1.5 oz cream of coconut",,pour the ingredients into a cocktail shaker filled with ice. shake well. strain into a chilled cocktail or collins glass.
profundo,"1.25 oz hirsch small batch reserve bourbon, 1.25 oz luxardo sangue morlacco cherry liqueur, .5 oz chocolate liqueur, 1 oz heavy cream flavored with hum liqueur",fresh cherry,pour the liquor ingredients over ice and top with half inch (about one centimeter) layer of lightly whipped cream shaken with hum liqueur.
château montifaud on mint,"1 coffee spoon sugar syrup, 10  fresh mint, .25  sliced green lemon, 1 oz chateau de montifaud cognac vsop, .75 oz lemon juice, .75 oz sparkling water",,"pour the sugar syrup into the glass and add fresh mint and green lemon. lightly crush and add ice cubes, cognac, lemon juice and sparkling water. mix with a spoon and serve with a straw."
tequila sunflare,"1.5 oz chinaco blanco tequila, .75 oz sage-cilantro-lime syrup,  rinse montanaro vermouth , 1  pomegranate ice cube",,pre-freeze pomegranate juice into one large cube. rinse a glass with montanaro vermouth. dump any excess out. build the remainder of spirits and bitters into a shaker tin. shake vigorously. strain over the pomegranate ice cube into a rocks glass.
kiss of persuasion,"1 oz luxardo maraschino liqueur, 1 oz honey-pear liqueur, .5 oz heavy cream,  oz pinch of cardamom,  oz dehydrated pear slice",cardamom,pre-mix the liquors together and keep refrigerated. serve 2 oz. neat into a small coupe glass. float the fresh cream on top.
marchesa,"30 ml luxardo maraschino liqueur, 20 ml bitter, 20 ml luxardo sangue morlacco cherry liqueur, 20 ml bourbon, 2 dash chocolate bitters","luxardo cherry, dehydrated orange wheel",prepare directly in an old fashioned glass.
brazilian mule punch,"2 part ypioca brasilizar cachaca prata reserva especial, 1 part fresh lime juice, 1 part ancho chile-infused simple syrup, 1 float ginger beer, 2 dash angostura bitters","dried ancho chiles, lime wheel","punch preparation instructions:
combine ypioca, lime and syrup in bowl. top with ginger beer and angostura bitters* (amounts will depend on size of punch and number of anticipated servings). garnish with thin-sliced dried ancho chiles and lime wheels to float.

*you can optionally skip adding angostura in punch and instead add a dash or 2 to each individual cocktail as served.


individual cocktail preparation instructions:
combine ingredients exactly the same way as a traditional moscow mule over crushed ice. garnish with dash or 2 bitters and ancho chile slices. mint is an optional garnish."
coco batida,"1 1/2 oz coconut milk, 1 1/2 oz condensed milk, 3 oz ypiòca, 1 tbsp sugar",,"put 1 1/2 ounces of coconut milk, 1 1/2 ounces of condensed milk, 3 ounces of ypiòca and tablespoon of sugar in a blender. mix for a few seconds. add ice cubes and serve."
orange batida,"2 1/2 oz orange juice, 1 1/2 oz ypiòca, 1-2 tbsp sugar",,"put 1 1/2 ounces, 2 1/2 ounces orange juice, and 1-2 tablespoons of sugar in a shaker. add ice cubes and shake for a few seconds. put in glass and serve."
passion fruit batida,"1-2 tbsp sugar, 1 1/2 oz ypiòca,   passion fruit",,"put 1/2 passion fruit inner part in a blender, 1-2 tablespoons of sugar and 50ml ( 1 1/2 ounces) of ypiòca. mix for a few seconds. filter in a glass and serve with ice."
peach batida,"3 oz peach juice, 1 1/2 oz condensed milk, 1 1/2 oz ypiòca , 1 tbsp sugar ",,"put 3 ounces of peach juice, 1 1/2 ounces of ypiòca, 1 1/2 ounces of condensed milk and 1 tablespoon of sugar in a shaker. add ice cubes, shake well and serve."
karlsson's old fashioned,"2 oz karlsson's gold vodka, 1 cube brown sugar, 1 splash bitter",lemon peel,"put a brown sugar cube at the bottom of a frosted glass.
add a splash of bitter and muddle the sugar.
add karlsson's gold vodka and stir with ice.
add lemon and orange peels (which you can burn for added flavor)."
gold rush,"3  basil leaves, 1.5 oz karlsson's gold vodka, .75 oz pineapple juice, .5 oz simple syrup, .5 oz sweet vermouth, .5 oz lime juice , .5 oz egg white, 1 dash angostura bitters",basil leaf,"put basil leaves in mixing glass. gently muddle the leaves. add all ingredients except the bitters or ice. dry shake the cocktail vigorously. add the ice and shake again vigorously. double strain into a coupe. add a few drops of angostura on top, add cracked pepper, slap one single basil leaf on top for garnish."
the improved sazerac,"1.5 oz h by hine, .25 oz luxardo maraschino liqueur, .5 tsp simple syrup (1:1), 3 dash peychaud's bitters, 1 dash angostura bitters,  rinse vieux pontarlier absinthe francaise superieure",lemon twist,put ingredients in mixing glass. stir. strain into glass that has absinthe rinse. add lemon zest.
luxardo fresco,"1.5 oz luxardo maraschino liqueur, 1 strip cucumber, 1 dash lemon juice,  top tonic",rosemary,quick stir and garnish with rosemary.
stranger in the alps," rinse eau de vie, 1.5 oz junipero gin, 1 oz carpano antica, .75 oz campari, .25 oz braulio amaro, 1 pinch salt",lemon pigtail,"rinse a rocks glass with eau de vie. combine remaining ingredients in a shaker with ice. shake, and strain over fresh ice into a rocks glass. garnish with a lemon pigtail."
corpse reviver no.2,".75 oz no.3 london dry gin, .75 oz tempus fugit kina l'aero d'or, .75 oz the genuine curacao liqueur clear, .75 oz lemon juice,  rinse vieux pontarlier absinthe francaise superieure",,rinse cocktail glass with vieux pontarlier absinthe. shake rest with ice and strain.
sazerac,"0.5 oz vieux pontarlier absinthe francaise superieure, 2 oz h by hine, 3 dash tempus fugit abbott's bitters, 0.5 tsp sugar",lemon peel,"rinse entire glass with absinthe, discard, if you must.
stir with ice and strain into an old-fashion glass, garnish with lemon peel."
the last marasca,"50 ml gin, 20 ml luxardo maraschino liqueur, 5 ml luxardo orgeat syrup, 5 ml lemon juice, 1 dash absinthe",luxardo cherry,"rinse glass with absinthe. add a luxardo cherry (covered in its juice) to a mixing glass with remaining ingredients. stir until cold and slightly rose colored. single strain, serve with cherry from mixing glass."
